"lon" "lat" "date" "p_sum"
13.8499 45.7499 1951-01-10 0
13.8499 45.7499 1951-01-11 0
13.8499 45.7499 1951-01-12 7.00000010430813
13.8499 45.7499 1951-01-13 5.70000008493662
13.8499 45.7499 1951-01-14 0
13.8499 45.7499 1951-01-15 0
13.8499 45.7499 1951-01-16 0
13.8499 45.7499 1951-01-17 0
13.8499 45.7499 1951-01-18 0
13.8499 45.7499 1951-01-19 0
13.8499 45.7499 1951-01-20 0
13.8499 45.7499 1951-01-21 0
13.8499 45.7499 1951-01-22 0
13.8499 45.7499 1951-01-23 8.50000012665987
13.8499 45.7499 1951-01-24 24.5000003650784
13.8499 45.7499 1951-01-25 16.6000002473593
13.8499 45.7499 1951-01-26 5.80000008642673
13.8499 45.7499 1951-01-27 11.7000001743436
13.8499 45.7499 1951-01-28 7.00000010430813
13.8499 45.7499 1951-01-29 3.20000004768372
13.8499 45.7499 1951-01-30 5.30000007897615
13.8499 45.7499 1951-01-31 2.60000003874302
13.8499 45.7499 1951-02-01 0
13.8499 45.7499 1951-02-02 0
13.8499 45.7499 1951-02-03 0
13.8499 45.7499 1951-02-04 7.10000010579824
13.8499 45.7499 1951-02-05 13.4000001996756
13.8499 45.7499 1951-02-06 8.50000012665987
13.8499 45.7499 1951-02-07 4.70000007003546
13.8499 45.7499 1951-02-08 0
13.8499 45.7499 1951-02-09 0
13.8499 45.7499 1951-02-10 0
13.8499 45.7499 1951-02-11 0
13.8499 45.7499 1951-02-12 0
13.8499 45.7499 1951-02-13 19.6000002920628
13.8499 45.7499 1951-02-14 0
13.8499 45.7499 1951-02-15 10.2000001519918
13.8499 45.7499 1951-02-16 0
13.8499 45.7499 1951-02-17 0
13.8499 45.7499 1951-02-18 16.2000002413988
13.8499 45.7499 1951-02-19 6.40000009536743
13.8499 45.7499 1951-02-20 0
13.8499 45.7499 1951-02-21 14.8000002205372
13.8499 45.7499 1951-02-22 0
13.8499 45.7499 1951-02-23 0
13.8499 45.7499 1951-02-24 16.400000244379
13.8499 45.7499 1951-02-25 10.7000001594424
13.8499 45.7499 1951-02-26 9.80000014603138
13.8499 45.7499 1951-02-27 0
13.8499 45.7499 1951-02-28 0
13.8499 45.7499 1951-03-01 0
13.8499 45.7499 1951-03-02 2.00000002980232
13.8499 45.7499 1951-03-03 0
13.8499 45.7499 1951-03-04 0
13.8499 45.7499 1951-03-05 0
13.8499 45.7499 1951-03-06 14.4000002145767
13.8499 45.7499 1951-03-07 4.80000007152557
13.8499 45.7499 1951-03-08 4.20000006258488
13.8499 45.7499 1951-03-09 0
13.8499 45.7499 1951-03-10 0
13.8499 45.7499 1951-03-11 7.10000010579824
13.8499 45.7499 1951-03-12 6.30000009387732
13.8499 45.7499 1951-03-13 0
13.8499 45.7499 1951-03-14 3.90000005811453
13.8499 45.7499 1951-03-15 0
13.8499 45.7499 1951-03-16 0
13.8499 45.7499 1951-03-17 0
13.8499 45.7499 1951-03-18 11.200000166893
13.8499 45.7499 1951-03-19 3.50000005215406
13.8499 45.7499 1951-03-20 7.00000010430813
13.8499 45.7499 1951-03-21 2.20000003278255
13.8499 45.7499 1951-03-22 0
13.8499 45.7499 1951-03-23 0
13.8499 45.7499 1951-03-24 14.7000002190471
13.8499 45.7499 1951-03-25 0
13.8499 45.7499 1951-03-26 0
13.8499 45.7499 1951-03-27 0
13.8499 45.7499 1951-03-28 22.8000003397465
13.8499 45.7499 1951-03-29 7.90000011771917
13.8499 45.7499 1951-03-30 2.30000003427267
13.8499 45.7499 1951-03-31 16.9000002518296
13.8499 45.7499 1951-04-01 7.10000010579824
13.8499 45.7499 1951-04-02 0
13.8499 45.7499 1951-04-03 0
13.8499 45.7499 1951-04-04 0
13.8499 45.7499 1951-04-05 0
13.8499 45.7499 1951-04-06 0
13.8499 45.7499 1951-04-07 0
13.8499 45.7499 1951-04-08 3.90000005811453
13.8499 45.7499 1951-04-09 3.1000000461936
13.8499 45.7499 1951-04-10 4.80000007152557
13.8499 45.7499 1951-04-11 5.00000007450581
13.8499 45.7499 1951-04-12 0
13.8499 45.7499 1951-04-13 0
13.8499 45.7499 1951-04-14 5.20000007748604
13.8499 45.7499 1951-04-15 0
13.8499 45.7499 1951-04-16 0
13.8499 45.7499 1951-04-17 0
13.8499 45.7499 1951-04-18 0
13.8499 45.7499 1951-04-19 0
13.8499 45.7499 1951-04-20 0
13.8499 45.7499 1951-04-21 0
13.8499 45.7499 1951-04-22 0
13.8499 45.7499 1951-04-23 0
13.8499 45.7499 1951-04-24 0
13.8499 45.7499 1951-04-25 0
13.8499 45.7499 1951-04-26 0
13.8499 45.7499 1951-04-27 7.30000010877848
13.8499 45.7499 1951-04-28 2.40000003576279
13.8499 45.7499 1951-04-29 18.8000002801418
13.8499 45.7499 1951-04-30 2.80000004172325
13.8499 45.7499 1951-05-01 6.30000009387732
13.8499 45.7499 1951-05-02 1.70000002533197
13.8499 45.7499 1951-05-03 0
13.8499 45.7499 1951-05-04 9.40000014007092
13.8499 45.7499 1951-05-05 0
13.8499 45.7499 1951-05-06 0
13.8499 45.7499 1951-05-07 3.90000005811453
13.8499 45.7499 1951-05-08 3.60000005364418
13.8499 45.7499 1951-05-09 15.8000002354383
13.8499 45.7499 1951-05-10 12.5000001862645
13.8499 45.7499 1951-05-11 5.90000008791685
13.8499 45.7499 1951-05-12 0
13.8499 45.7499 1951-05-13 0
13.8499 45.7499 1951-05-14 5.00000007450581
13.8499 45.7499 1951-05-15 8.40000012516975
13.8499 45.7499 1951-05-16 2.10000003129244
13.8499 45.7499 1951-05-17 0
13.8499 45.7499 1951-05-18 0
13.8499 45.7499 1951-05-19 0
13.8499 45.7499 1951-05-20 2.10000003129244
13.8499 45.7499 1951-05-21 0
13.8499 45.7499 1951-05-22 0
13.8499 45.7499 1951-05-23 0
13.8499 45.7499 1951-05-24 0
13.8499 45.7499 1951-05-25 0
13.8499 45.7499 1951-05-26 0
13.8499 45.7499 1951-05-27 0
13.8499 45.7499 1951-05-28 1.80000002682209
13.8499 45.7499 1951-05-29 0
13.8499 45.7499 1951-05-30 1.20000001788139
13.8499 45.7499 1951-05-31 0
13.8499 45.7499 1951-06-01 0
13.8499 45.7499 1951-06-02 7.40000011026859
13.8499 45.7499 1951-06-03 0
13.8499 45.7499 1951-06-04 3.30000004917383
13.8499 45.7499 1951-06-05 4.40000006556511
13.8499 45.7499 1951-06-06 4.20000006258488
13.8499 45.7499 1951-06-07 3.1000000461936
13.8499 45.7499 1951-06-08 18.8000002801418
13.8499 45.7499 1951-06-09 8.30000012367964
13.8499 45.7499 1951-06-10 12.5000001862645
13.8499 45.7499 1951-06-11 0
13.8499 45.7499 1951-06-12 0
13.8499 45.7499 1951-06-13 0
13.8499 45.7499 1951-06-14 0
13.8499 45.7499 1951-06-15 0
13.8499 45.7499 1951-06-16 0
13.8499 45.7499 1951-06-17 0
13.8499 45.7499 1951-06-18 0
13.8499 45.7499 1951-06-19 0
13.8499 45.7499 1951-06-20 1.50000002235174
13.8499 45.7499 1951-06-21 0
13.8499 45.7499 1951-06-22 0
13.8499 45.7499 1951-06-23 0
13.8499 45.7499 1951-06-24 0
13.8499 45.7499 1951-06-25 4.10000006109476
13.8499 45.7499 1951-06-26 3.30000004917383
13.8499 45.7499 1951-06-27 1.50000002235174
13.8499 45.7499 1951-06-28 0
13.8499 45.7499 1951-06-29 8.90000013262033
13.8499 45.7499 1951-06-30 5.00000007450581
13.8499 45.7499 1951-07-01 8.00000011920929
13.8499 45.7499 1951-07-02 0
13.8499 45.7499 1951-07-03 0
13.8499 45.7499 1951-07-04 0
13.8499 45.7499 1951-07-05 8.7000001296401
13.8499 45.7499 1951-07-06 0
13.8499 45.7499 1951-07-07 0
13.8499 45.7499 1951-07-08 0
13.8499 45.7499 1951-07-09 6.2000000923872
13.8499 45.7499 1951-07-10 0
13.8499 45.7499 1951-07-11 0
13.8499 45.7499 1951-07-12 3.80000005662441
13.8499 45.7499 1951-07-13 0
13.8499 45.7499 1951-07-14 0
13.8499 45.7499 1951-07-15 0
13.8499 45.7499 1951-07-16 4.50000006705523
13.8499 45.7499 1951-07-17 3.50000005215406
13.8499 45.7499 1951-07-18 2.40000003576279
13.8499 45.7499 1951-07-19 0
13.8499 45.7499 1951-07-20 0
13.8499 45.7499 1951-07-21 0
13.8499 45.7499 1951-07-22 0
13.8499 45.7499 1951-07-23 27.3000004068017
13.8499 45.7499 1951-07-24 5.30000007897615
13.8499 45.7499 1951-07-25 8.20000012218952
13.8499 45.7499 1951-07-26 0
13.8499 45.7499 1951-07-27 0
13.8499 45.7499 1951-07-28 0
13.8499 45.7499 1951-07-29 0
13.8499 45.7499 1951-07-30 0
13.8499 45.7499 1951-07-31 0
13.8499 45.7499 1951-08-01 0
13.8499 45.7499 1951-08-02 0
13.8499 45.7499 1951-08-03 0
13.8499 45.7499 1951-08-04 0
13.8499 45.7499 1951-08-05 1.90000002831221
13.8499 45.7499 1951-08-06 0
13.8499 45.7499 1951-08-07 0
13.8499 45.7499 1951-08-08 1.90000002831221
13.8499 45.7499 1951-08-09 7.10000010579824
13.8499 45.7499 1951-08-10 2.80000004172325
13.8499 45.7499 1951-08-11 13.5000002011657
13.8499 45.7499 1951-08-12 0
13.8499 45.7499 1951-08-13 0
13.8499 45.7499 1951-08-14 9.50000014156103
13.8499 45.7499 1951-08-15 0
13.8499 45.7499 1951-08-16 9.40000014007092
13.8499 45.7499 1951-08-17 0
13.8499 45.7499 1951-08-18 0
13.8499 45.7499 1951-08-19 0
13.8499 45.7499 1951-08-20 0
13.8499 45.7499 1951-08-21 0
13.8499 45.7499 1951-08-22 0
13.8499 45.7499 1951-08-23 0
13.8499 45.7499 1951-08-24 0
13.8499 45.7499 1951-08-25 0
13.8499 45.7499 1951-08-26 0
13.8499 45.7499 1951-08-27 0
13.8499 45.7499 1951-08-28 0
13.8499 45.7499 1951-08-29 0
13.8499 45.7499 1951-08-30 0
13.8499 45.7499 1951-08-31 0
13.8499 45.7499 1951-09-01 0
13.8499 45.7499 1951-09-02 0
13.8499 45.7499 1951-09-03 10.2000001519918
13.8499 45.7499 1951-09-04 0
13.8499 45.7499 1951-09-05 0
13.8499 45.7499 1951-09-06 0
13.8499 45.7499 1951-09-07 0
13.8499 45.7499 1951-09-08 0
13.8499 45.7499 1951-09-09 0
13.8499 45.7499 1951-09-10 0
13.8499 45.7499 1951-09-11 0
13.8499 45.7499 1951-09-12 0
